0,1,2,3,4,5,6
4,14,26,32,36,45,47
4,15,17,26,28,36,39
4,16,17,18,25,27,44
5,7,8,12,14,18,37
5,15,18,28,39,42,47
5,15,24,25,33,37,45
6,10,13,20,25,26,33
6,12,13,26,29,32,41
6,12,19,29,38,46,49
7,8,13,14,18,25,29
7,9,10,34,37,43,45
7,9,14,19,21,29,33
7,24,31,32,38,42,45
8,9,12,25,38,39,46
9,11,18,21,26,31,45
9,16,17,18,24,31,42
10,13,17,28,34,42,50
10,15,28,30,32,39,44
11,12,16,27,34,41,47
11,16,19,42,45,46,50
13,18,24,27,37,38,44
13,20,22,23,29,31,46
14,16,19,24,27,37,40
14,17,27,29,37,38,49
14,24,25,29,30,36,43
18,28,36,37,42,44,45
20,23,28,29,38,45,46
21,29,30,35,41,42,45
2,3,16,28,31,42,47
1,2,3,13,18,42,50
1,19,25,27,30,31,48
2,6,14,25,26,29,47
2,7,14,26,28,40,41
2,8,19,21,26,41,46
2,9,17,26,32,45,47
2,11,14,30,31,37,42
2,14,15,26,27,34,36
2,14,33,34,35,40,47
3,4,6,11,16,22,37
3,6,18,23,39,44,50
3,10,12,14,15,39,42
3,11,12,19,37,42,48
4,6,21,22,24,40,43
4,8,15,16,25,40,49
4,11,16,26,39,46,48
4,28,30,33,38,46,50
5,7,15,23,25,43,50
5,8,10,12,32,45,46
5,9,13,14,29,34,50
5,9,17,20,25,26,30
5,11,27,31,42,45,49
5,18,28,31,34,36,50
6,7,10,28,34,35,38
6,17,29,35,37,42,46
8,10,15,16,31,36,38
8,10,24,26,31,40,43
9,17,22,35,40,47,49
10,11,14,15,37,38,45
11,15,28,33,42,48,49
17,21,28,30,32,37,38
18,20,21,38,42,44,48
19,23,29,34,37,38,48
6,20,21,28,38,43,47
1,9,33,36,39,40,43
1,27,29,31,37,38,44
3,4,11,12,31,40,49
3,6,7,8,10,18,49
3,9,12,13,19,41,49
3,9,13,18,20,29,38
3,20,26,30,32,40,50
4,10,16,21,31,35,36
6,7,24,31,43,44,49
6,9,17,27,28,37,48
6,9,18,23,34,35,38
6,13,17,21,28,29,49
7,8,18,30,36,44,46
7,25,30,40,46,47,50
8,11,13,28,35,37,47
9,11,23,42,45,46,47
9,18,25,37,40,44,47
18,21,34,36,40,43,44
19,22,23,25,34,37,40
25,36,38,41,46,49,50
7,18,22,40,44,46,50
1,4,10,24,28,36,47
1,9,19,24,35,40,43
1,20,35,36,38,42,45
3,14,18,19,39,41,45
3,15,16,19,21,30,45
4,5,14,15,24,42,43
5,12,38,40,41,42,43
6,9,22,29,32,42,46
7,19,26,36,48,49,50
8,9,15,30,39,46,47
8,12,13,15,19,25,35
16,24,35,38,41,48,50
6,9,11,19,24,38,46
2,3,19,24,34,47,49
3,6,12,18,25,46,50
3,11,13,20,21,32,46
5,26,30,37,42,43,47
8,13,18,25,28,31,49
19,20,26,36,42,46,48
5,6,25,31,32,44,48
1,6,24,30,32,36,50
1,8,13,19,22,28,50
2,8,9,10,23,37,47
3,23,24,33,34,38,42
5,9,18,27,32,38,40
8,12,19,23,31,41,42
15,19,23,28,33,38,39
3,18,19,24,26,27,45
14,15,20,32,35,38,50
1,8,17,21,35,39,46
1,23,27,33,39,45,49
2,14,27,30,31,35,43
7,11,14,26,27,29,36
1,3,4,11,19,24,42
7,10,11,19,22,30,37
1,13,19,27,42,49,50
15,16,18,19,22,44,47
1,19,28,29,31,33,43
2,14,24,25,35,44,45
30,32,33,34,37,45,49
12,22,25,30,37,38,45
2,4,16,24,25,27,49
5,6,12,28,29,36,46
2,7,8,26,30,43,48
8,15,25,27,33,39,44
4,9,10,27,29,30,31
6,11,20,24,37,48,50
7,17,22,26,29,32,40
5,12,15,23,28,38,39
3,7,16,22,29,31,42
6,9,23,25,31,36,48
9,29,30,36,42,46,49
11,17,19,22,27,31,40
1,6,17,21,26,38,41
1,6,20,23,35,46,48
1,9,14,17,33,34,40
1,11,17,30,32,36,41
1,11,19,29,30,42,50
1,14,15,19,20,37,40
3,25,28,35,37,44,49
4,10,15,17,21,32,33
6,28,31,34,36,47,50
7,11,13,19,21,38,42
7,12,17,22,23,29,46
7,18,21,29,31,48,50
8,10,12,14,23,28,41
8,12,17,30,34,35,41
9,10,13,20,34,42,46
9,19,21,25,28,40,41
9,19,34,37,38,41,48
10,11,16,28,35,38,39
13,19,26,27,29,31,35
14,16,17,24,28,32,47
