0,1,2,3,4,5,6
03,14,18,19,39,41,45
03,15,16,19,21,30,45
04,05,14,15,24,42,43
05,12,38,40,41,42,43
06,09,22,29,32,42,46
07,19,26,36,48,49,50
08,09,15,30,39,46,47
08,12,13,15,19,25,35
16,24,35,38,41,48,50
06,09,11,19,24,38,46
02,03,19,24,34,47,49
03,06,12,18,25,46,50
03,11,13,20,21,32,46
05,26,30,37,42,43,47
08,13,18,25,28,31,49
19,20,26,36,42,46,48
05,06,25,31,32,44,48
01,06,24,30,32,36,50
01,08,13,19,22,28,50
02,08,09,10,23,37,47
03,23,24,33,34,38,42
05,09,18,27,32,38,40
08,12,19,23,31,41,42
15,19,23,28,33,38,39
03,18,19,24,26,27,45
14,15,20,32,35,38,50
01,08,17,21,35,39,46
01,23,27,33,39,45,49
02,14,27,30,31,35,43
07,11,14,26,27,29,36
01,03,04,11,19,24,42
07,10,11,19,22,30,37
01,13,19,27,42,49,50
15,16,18,19,22,44,47
01,19,28,29,31,33,43
02,14,24,25,35,44,45
30,32,33,34,37,45,49
12,22,25,30,37,38,45
02,04,16,24,25,27,49
05,06,12,28,29,36,46
02,07,08,26,30,43,48
08,15,25,27,33,39,44
04,09,10,27,29,30,31
06,11,20,24,37,48,50
07,17,22,26,29,32,40
05,12,15,23,28,38,39
03,07,16,22,29,31,42
06,09,23,25,31,36,48
09,29,30,36,42,46,49
11,17,19,22,27,31,40
01,06,17,21,26,38,41
01,06,20,23,35,46,48
01,09,14,17,33,34,40
01,11,17,30,32,36,41
01,11,19,29,30,42,50
01,14,15,19,20,37,40
03,25,28,35,37,44,49
04,10,15,17,21,32,33
06,28,31,34,36,47,50
07,11,13,19,21,38,42
07,12,17,22,23,29,46
07,18,21,29,31,48,50
08,10,12,14,23,28,41
08,12,17,30,34,35,41
09,10,13,20,34,42,46
09,19,21,25,28,40,41
09,19,34,37,38,41,48
10,11,16,28,35,38,39
13,19,26,27,29,31,35
14,16,17,24,28,32,47
18,19,21,29,39,45,50
18,24,28,29,33,41,46
19,21,25,30,36,37,40
03,13,14,20,30,45,49
01,08,22,25,29,40,44
01,18,23,25,27,28,36
02,03,07,27,31,39,40
02,09,23,31,33,36,41
02,11,12,22,23,29,43
03,16,20,21,24,37,42
05,09,11,16,34,40,42
07,11,15,19,21,23,44
08,09,14,36,39,46,50
08,14,21,32,34,36,39
09,10,11,17,37,43,45
01,05,10,18,20,40,42
04,05,11,16,22,46,50
04,07,11,26,34,36,46
04,10,11,21,30,31,43
04,12,16,20,30,34,38
06,14,19,21,23,38,47
12,15,16,19,30,41,46
01,06,12,21,34,37,47
02,13,14,21,36,38,45
07,09,11,18,22,30,31
08,16,30,37,40,44,49
10,11,13,24,30,31,45
02,05,10,11,14,23,33
07,08,18,25,32,35,42
08,13,15,16,22,30,50
04,12,16,17,33,36,44
01,02,23,32,35,36,45
17,24,27,34,38,42,48
09,11,20,22,33,36,46
26,37,42,44,46,49,50
11,21,23,25,28,41,43
02,07,13,17,33,34,46
02,09,25,27,35,36,37
05,13,17,19,22,33,45
08,12,15,18,20,34,40
11,15,18,19,27,43,50
20,26,35,41,44,45,48
23,31,34,38,40,45,50
01,04,20,21,32,37,50
01,10,12,14,25,34,48
02,11,19,23,34,40,43
06,18,26,30,36,37,39
05,23,31,35,36,37,43
15,16,27,31,32,40,49
24,25,27,28,38,39,44
04,12,13,15,18,30,50
04,21,24,25,26,27,42
01,16,21,24,35,37,39
18,21,28,29,31,32,49
08,12,23,25,29,43,46
08,12,16,30,38,48,50
04,29,30,37,38,43,44
04,09,11,13,21,37,48
12,21,25,29,34,38,49
02,09,10,22,31,35,49
01,04,20,33,44,45,49
09,21,30,33,38,39,46
05,13,14,21,36,37,43
05,07,14,23,24,46,47
01,04,09,15,18,24,31
04,05,19,21,35,40,43
05,10,21,25,32,39,49
05,11,25,28,30,32,45
06,10,13,26,36,37,46
06,23,27,30,32,41,47
08,12,14,18,23,35,49
10,12,16,20,23,27,36
13,16,20,21,23,34,45
14,17,18,21,28,37,41
09,15,35,41,42,45,46
02,10,11,14,20,25,28
03,05,08,20,23,27,28
03,09,10,14,35,36,46
03,18,24,26,29,31,50
07,23,26,33,37,42,44
09,18,27,28,42,48,50
